Source,RA_ICRS,DE_ICRS,PQSO,PGal,Pstar,PWD,Pbin,Teff,logg,[Fe/H],Dist,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Teff-HS,logg1-MSC,logg-HS,logg-S,logg2-MSC
2748779106176,45.14048545085,0.120845108,0.0,0.0,0.99998754,0.0,1.244E-5,,,,,,,,,,,,,,,,,,,,,
2753074326400,45.12196996122,0.12168350049,0.0,0.0,0.99999464,0.0,5.38E-6,,,,,,,,,,,,,,,,,,,,,
2817498603520,45.124995438,0.12599289732,0.0,0.0,0.999975,0.0,2.496E-5,,,,,,,,,,,,,,,,,,,,,
2821794351744,45.12415245312,0.13677852528,0.0,0.0,0.9105993,0.0,0.08940076,,,,,,,,,,,,,,,,,,,,,
2851858288640,45.13214441404,0.13785355324,0.0,0.0,0.99989027,0.0,1.0972E-4,5819.5605,4.3388,-0.698,363.0551,0.1242,0.1049,0.1314,0.0745,0.0569,4.454,1.1008,1.1249,1.2918831,0.991,7.869,0.55326205,,4.5678,,,4.7313
2886218060160,45.15639331577,0.1460492657,0.0,0.0,0.9999945,0.0,5.45E-6,,,,,,,,,,,,,,,,,,,,,
2920577765120,45.16465301805,0.15450004311,0.0,0.0,0.99994236,0.0,5.762E-5,5304.1387,4.2985,-0.8166,1248.7585,0.017,0.014,0.0177,0.0102,0.0076,4.8095,1.1465,1.4592,1.5093297,0.943,,0.5321172,,4.4805,,,4.5926
2989297243520,45.15177931651,0.15411389203,5.0E-8,2.0E-8,0.99999374,3.0E-8,6.23E-6,,,,,,,,,,,,,,,,,,,,,
2989297243776,45.14638633342,0.16035347706,0.0,0.0,0.99961686,0.0,3.8316E-4,3463.8408,4.4658,-1.1136,358.7699,0.6416,0.4299,0.6126,0.3574,0.255,9.6494,0.3824,0.441,0.024284743,,,0.232438,,4.8678,,,4.683
3058016772224,45.12994924559,0.1478141373,1.6E-7,1.0E-8,0.99998873,0.0,1.107E-5,,,,,,,,,,,,,,,,,,,,,
3062312520192,45.11665105141,0.14472045067,0.0,0.0,0.9999881,0.0,1.195E-5,5653.0347,3.8066,-0.711,2104.148,0.235,0.1962,0.2471,0.1406,0.1065,3.3807,1.9324,1.3079,1.5459942,0.944,12.637,0.28404188,,4.5511,,,5.0508
3332894779520,45.05816837836,0.1274020094,0.0,0.0,0.99997234,0.0,2.766E-5,,,,,,,,,,,,,,,,,,4.6062,,3.35,4.7047
3371550165888,45.03360463303,0.1285488534,0.0,0.0,0.9999466,0.0,5.341E-5,5066.854,4.6427,-0.6246,380.5594,0.4487,0.3578,0.4585,0.266,0.1926,6.2952,0.6386,0.9449,0.52214503,,,0.642861,,4.643,,,4.7683
3435974261120,45.06731931898,0.14490083242,1.0E-8,3.0E-8,0.9999922,0.0,7.76E-6,,,,,,,,,,,,,,,,,,,,,
3470333738112,45.07550473214,0.15231614381,0.21880803,1.078E-5,0.7811765,8.0E-8,4.64E-6,,,,,,,,,,,,,,,,,,,,,
3508989119232,45.05595381188,0.14611201291,0.0,0.0,0.99994963,0.0,5.037E-5,5190.848,4.494,-0.8043,771.1644,0.0846,0.0691,0.0877,0.0504,0.0373,5.6398,0.811,0.8742,0.48020244,0.825,12.292,0.56602037,,4.5332,,,5.0553
3607772690688,45.03182509995,0.14417619354,0.0,0.0,0.99999213,0.0,7.86E-6,3518.012,4.7615,-0.9241,581.7452,0.0397,0.0275,0.0378,0.0225,0.0153,10.2003,0.2881,,,,,,,,,,
3676493398016,45.01995459381,0.16376864325,0.0,0.0,0.999986,0.0,1.404E-5,,,,,,,,,,,,,,,,,,,,,
3680787975936,45.01912373733,0.16323692972,2.349E-4,0.00271617,0.99540883,4.1E-6,0.00163593,,,,,,,,,,,,,,,,,,,,,
3745211647360,45.06163836127,0.17097450494,0.0,0.0,0.9999785,0.0,2.154E-5,,,,,,,,,,,,,,,,,,,,,
3779572614144,45.02391818333,0.16734665069,9.85E-6,8.39E-6,0.9997136,6.2E-7,2.675E-4,,,,,,,,,,,,,,,,,,,,,
3917010338944,45.08367987809,0.16935464898,0.0,0.0,0.999955,0.0,4.502E-5,4048.3394,4.51,-0.5507,1030.8868,0.0127,0.0093,0.0124,0.0074,0.005,7.3476,0.7164,0.6716,0.10957919,0.625,2.695,0.57521224,,4.5941,,,4.7657
4020090844672,45.1266054971,0.18291924399,0.0,2.0E-8,0.9999905,0.0,9.45E-6,,,,,,,,,,,,,,,,,,,,,
4054450582912,45.09699365108,0.18131170397,0.0,8.0E-8,0.99998987,0.0,1.007E-5,,,,,,,,,,,,,,,,,,,,,
4230543624320,45.06347956342,0.19565143901,0.0,0.0,0.99992603,0.0,7.395E-5,5646.016,4.3825,-0.1251,1426.7289,0.1623,0.135,0.1695,0.0973,0.0722,4.7882,0.9846,1.388,1.7340976,0.953,12.393,0.5607638,,4.5632,,,4.547
4294967463680,45.09963360942,0.19658525062,0.00396562,1.1114E-4,0.995003,1.0255E-4,8.1763E-4,,,,,,,,,,,,,,,,,,,,,
4432406356096,44.92298773739,0.09714399709,0.0,0.0,0.99999547,0.0,4.53E-6,,,,,,,,,,,,,,,,,,,,,
4501125792384,44.91023473926,0.0953427166,0.00495087,0.0,0.9948145,2.346E-4,0.0,,,,,,,,,,,,,,,,,,,,,
4535486865536,44.93621595334,0.10243768077,0.00165558,2.339E-4,0.99741155,8.135E-5,6.1768E-4,,,,,,,,,,,,,,,,,,,,,
4539781243776,44.93325727429,0.09446910667,0.0,0.0,0.9999902,0.0,9.73E-6,,,,,,,,,,,,,,,,,,,,,
4707284223104,44.89846116956,0.11797872827,2.0E-8,0.0,0.9999653,3.0E-8,3.472E-5,5545.0024,4.7531,-1.7056,3307.6501,0.0026,0.0022,0.0028,0.0016,0.0012,6.1233,0.5709,,,,,,,,,,
4711579935744,44.89479998813,0.11403061483,0.0,0.0,0.9999243,0.0,7.566E-5,5512.4717,4.2765,-0.7414,908.121,0.0152,0.0126,0.0159,0.0091,0.0068,4.4659,1.223,1.2432,1.2867931,0.916,,0.5352477,,4.5593,,,4.7937
4741643961344,44.87719515523,0.11741445611,0.44062415,0.0,0.55937576,4.0E-8,0.0,,,,,,,,,,,,,,,,,,,,,
4776005026176,44.88237668887,0.12114870197,2.0E-8,0.0,0.9999931,0.0,6.94E-6,,,,,,,,,,,,,,,,,,,,,
4780298790784,44.89817291444,0.11894505609,2.7953E-4,1.0E-8,0.9997115,2.0E-8,8.9E-6,,,,,,,,,,,,,,,,,,,,,
4810363437952,44.91029694323,0.11475560367,0.0,0.0,0.99999243,0.0,7.6E-6,3245.7092,4.6851,-0.9216,345.6406,0.0373,0.0241,0.036,0.0204,0.0155,11.0125,0.2532,,,,,,,,,,
4814659150336,44.91277856069,0.12400437508,0.0,0.0,0.9998059,0.0,1.9408E-4,4006.86,4.735,-0.3283,595.186,0.1774,0.1282,0.1719,0.1023,0.0695,8.1079,0.5243,0.6043,0.077287085,0.594,5.779,0.6580739,,4.8377,,,4.7978
5016521963392,44.94136348892,0.13559088542,0.0,0.0,0.99999344,1.0E-8,6.57E-6,,,,,,,,,,,,,,,,,,,,,
5050881701504,44.95293834447,0.13389088654,0.0,0.0,0.999561,0.0,4.3897E-4,3364.7883,4.8869,-0.0869,323.1736,0.8508,0.5428,0.8163,0.4623,0.354,10.0999,0.3672,0.3938,0.017984292,,,0.66282547,,4.5487,,,5.0792
5119601441536,44.99353521012,0.14900602618,0.0,0.0,0.9999792,0.0,2.079E-5,,,,,,,,,,,,,,,,,,,,,
5192616270720,44.97369550595,0.15520352991,0.0,0.0,0.9982583,0.0,0.00174173,3432.535,4.8334,-0.7097,124.4952,0.6688,0.4403,0.6395,0.369,0.2705,10.3192,0.2939,0.2875,0.010389672,,,0.48730755,,5.0,,,5.0004
5291399870976,44.9208040628,0.14607416752,0.0,0.0,0.9999678,0.0,3.218E-5,5441.6387,4.6079,-0.612,1604.2902,0.0404,0.0335,0.0422,0.0242,0.018,5.7516,0.6967,0.6653,0.33913952,,,0.6784805,,4.5693,,,4.8091
5291399871104,44.92568847333,0.14972369904,0.0,1.0E-7,0.9999903,0.0,9.56E-6,4125.9575,4.9225,-1.3168,999.1478,0.0098,0.0072,0.0096,0.0057,0.0039,8.6539,0.366,,,,,,,,,,
5291399871488,44.92285571441,0.15115754607,0.0,0.0,0.9999243,0.0,7.566E-5,4001.4219,4.7637,-0.5103,640.2559,0.3176,0.2288,0.3076,0.183,0.1247,8.2309,0.4921,0.612,0.0869728,0.606,1.998,0.66442525,,4.6829,,,4.8573
5330055224960,44.9398109763,0.15784061169,0.0,7.63E-5,0.99986535,0.0,5.833E-5,,,,,,,,,,,,,,,,,,,,,
5360119348480,44.95900184511,0.15236902352,0.0,0.0,0.99996066,0.0,3.935E-5,3378.046,4.7349,-0.6973,330.3914,0.8145,0.5288,0.7781,0.4465,0.3314,10.2911,0.3149,,,,,,,,,,
5364414963072,44.95147391685,0.15677228717,0.0,0.0,0.99994224,0.0,5.774E-5,4837.087,3.736,0.2275,3938.7864,0.4385,0.3382,0.4357,0.259,0.1767,3.8349,2.2199,0.6026,0.18153125,,,0.2889883,,4.7473,,,4.7614
5394479088256,44.96999152682,0.1635841166,0.0,0.0,0.9999189,0.0,8.113E-5,3772.0022,4.7452,-0.1535,538.8998,0.8675,0.5944,0.8312,0.4886,0.3426,8.5843,0.5083,0.5179,0.048593152,0.538,7.284,0.6634999,,4.816,,,5.059
5497558205696,44.87539152642,0.1182047974,0.0,0.0,0.99992543,0.0,7.46E-5,5043.8276,4.6024,-0.3531,1035.9622,0.1111,0.0893,0.1137,0.0661,0.0476,6.1458,0.6891,0.884,0.45569074,0.813,8.736,0.6393517,,4.6076,,,4.7287
5531917984000,44.87698042895,0.13213734834,0.0,2.0E-8,0.9999874,0.0,1.257E-5,,,,,,,,,,,,,,,,,,,,,
5570573422080,44.85334508786,0.12810861107,0.0,0.00430951,0.99451005,0.0,0.00118044,,,,,,,,,,,,,,,,,,,,,
5841155589888,44.84019112053,0.15256158361,0.0,0.0,0.9999726,0.0,2.741E-5,3190.7615,5.0143,-0.2064,322.9268,0.0081,0.0051,0.0078,0.0043,0.0035,11.335,0.2481,,,,,,,,,,
5944234845056,44.87786065121,0.17057561137,0.0,0.0,0.9999884,0.0,1.163E-5,,,,,,,,,,,,,,,,,,,,,
5944234902272,44.88476069792,0.16480581644,0.29774716,1.446E-5,0.70223,7.0E-8,8.33E-6,,,,,,,,,,,,,,,,,,,,,
6012955592192,44.86955694999,0.17225270153,0.0,0.0,0.99998486,0.0,1.513E-5,4201.8657,4.9703,-1.6246,961.0514,0.0023,0.0017,0.0023,0.0014,9.0E-4,8.7721,0.3287,,,,,,,,,,
6017249992832,44.87059951415,0.172425804,0.0,0.0,0.99991345,0.0,8.656E-5,4255.6987,4.6762,-0.2187,915.5822,0.0069,0.0051,0.0067,0.004,0.0027,7.4626,0.5975,0.9822,0.28593498,0.699,12.725,0.6513339,,4.8307,,,4.6967
6047314116736,44.91523958554,0.15835805126,0.0,0.0,0.9999644,1.0E-8,3.561E-5,5082.8174,4.7658,-1.4766,2191.9785,0.0044,0.0035,0.0045,0.0026,0.0019,6.7339,0.5189,,,,,,,,,,
6085969468928,44.92562238642,0.16883255951,0.0,0.0,0.99984413,0.0,1.5588E-4,5273.6055,4.6205,-0.2455,1218.6034,0.0098,0.0079,0.0101,0.0058,0.0042,5.8051,0.7226,1.0712,0.795499,0.846,11.465,0.6954966,,4.5353,,,4.596
6150393333888,44.91828613793,0.1779974152,3.27E-6,5.0E-8,0.999993,1.1E-7,3.56E-6,,,,,,,,,,,,,,,,,,,,,
6184753072384,44.93457303626,0.17828582254,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
6189048868736,44.93747558678,0.1738503642,2.4685E-4,0.00336134,0.99574715,0.0,6.4468E-4,,,,,,,,,,,,,,,,,,,,,
6219112811008,44.94684838738,0.18143162055,0.0,0.0,0.99999076,0.0,9.23E-6,4145.219,5.0021,-1.5802,973.3442,0.0079,0.0059,0.0078,0.0046,0.0032,9.0102,0.3051,,,,,,,,,,
6219113071360,44.93848719711,0.18545694686,0.0,0.0,0.9999937,0.0,6.34E-6,,,,,,,,,,,,,,,,,,,,,
6223408420864,44.93764898805,0.18839339947,0.0,0.0,0.9993886,0.0,6.1143E-4,4995.751,4.6522,-0.1791,302.8095,0.3681,0.2914,0.3732,0.2183,0.1549,6.2328,0.6758,0.7141,0.2833392,,,0.6991874,,4.7361,,,4.7007
6257768191616,44.91985558601,0.19143448678,8.132E-5,5.3991E-4,0.99767864,1.16E-6,0.00169907,,,,,,,,,,,,,,,,,,,,,
6326487668480,44.89242771891,0.17275429518,3.6198E-4,0.00217539,0.9955613,1.067E-5,0.00189069,,,,,,,,,,,,,,,,,,,,,
6429566883712,44.88815143856,0.19066626518,7.636E-5,4.8581E-4,0.9978393,3.27E-6,0.0015953,,,,,,,,,,,,,,,,,,,,,
6459630980096,44.91049781017,0.18964899574,0.0790043,0.42715186,0.49384168,0.0,2.2E-6,,,,,,,,,,,,,,,,,,,,,
6463926589568,44.91526343779,0.199606143,0.0,0.0,0.9999409,1.0E-8,5.912E-5,5433.686,4.6985,-1.1126,2301.6592,0.0036,0.003,0.0038,0.0022,0.0016,6.0885,0.6012,0.596,0.27852994,,,0.7346902,,4.6026,,,4.5327
6528350458496,44.90703190102,0.20601107359,0.0,0.0,0.99979824,0.0,2.0174E-4,3732.3132,4.6284,-0.0739,560.131,0.7205,0.4916,0.6925,0.4046,0.2878,8.3223,0.5991,0.7009,0.086056545,0.59,11.595,0.59831816,,4.8132,,,4.8161
6567005330944,44.91996058714,0.21575554689,0.00699045,1.0293E-4,0.9923127,5.9389E-4,0.0,,,,,,,,,,,,,,,,,,,,,
6597069930752,44.99495411203,0.16137584499,0.0027776,0.0,0.9972135,4.0E-8,8.88E-6,,,,,,,,,,,,,,,,,,,,,
6631429670400,45.01358727252,0.17051432675,0.0,0.0,0.99296397,0.0,0.00703605,3846.482,4.703,-0.1061,279.2379,0.5368,0.3748,0.5169,0.3048,0.2121,8.2955,0.5497,0.5413,0.057521507,0.553,,0.64648455,,4.7298,,,4.8354
6700149148032,44.99942390015,0.1794576165,1.0E-8,0.0,0.99996656,9.0E-8,3.338E-5,5713.1484,4.7437,-3.0151,3773.1433,0.003,0.0025,0.0032,0.0018,0.0014,5.9609,0.5854,,,,,,,,,,
6807523466752,45.01298421474,0.17912794658,0.0,0.0,0.99999505,0.0,4.91E-6,,,,,,,,,,,,,,,,,,,,,
6910603187200,44.98563472738,0.18855541774,0.0,0.0,0.9999664,0.0,3.358E-5,5168.6343,4.7576,-1.3074,1829.5253,0.0034,0.0028,0.0036,0.002,0.0015,6.5616,0.5405,0.5416,0.18906237,,,0.7366395,,4.6523,,,4.5842
6944962925824,44.97582155641,0.18781410211,0.0,0.0,0.99992603,0.0,7.395E-5,5510.5625,4.2722,-0.0687,947.1208,0.1589,0.1311,0.1651,0.0951,0.07,4.2645,1.3221,1.3558,1.521649,0.934,,0.57576954,,4.474,,,4.3927
6975027056128,44.9762069742,0.19597223688,8.869E-5,0.00145729,0.99736845,4.65E-6,0.00108089,,,,,,,,,,,,,,,,,,,,,
7116761616256,45.00007264078,0.21414548618,0.0,0.0,0.99296397,0.0,0.00703605,3431.9377,4.8043,0.0664,190.3634,1.0512,0.6715,1.0102,0.5714,0.4388,9.61,0.44,0.4378,0.024010703,,,0.65252393,,4.8263,,,4.7991
7181185487232,45.04747971853,0.20256033591,1.702E-4,1.7974E-4,0.99864066,1.574E-5,9.9359E-4,,,,,,,,,,,,,,,,,,,,,
7249904966144,45.04593607093,0.21969326441,0.0,0.0,0.9999966,0.0,3.39E-6,,,,,,,,,,,,,,,,,,,,,
7284264691456,45.06227669198,0.21600441945,0.0,0.0,0.99944246,0.0,5.5754E-4,,,,,,,,,,,,,,,,,,4.6076,,,5.0266
7352984181120,45.05038600148,0.21943363929,1.0E-8,0.0,0.9999724,6.0E-8,2.751E-5,5571.3965,4.7565,-1.8715,3713.5898,0.0026,0.0022,0.0027,0.0015,0.0012,6.1206,0.5673,,,,,,,,,,
7387343906304,45.07076738606,0.23473370815,0.0,0.0,0.99979013,0.0,2.0992E-4,4458.5513,4.6068,0.1539,374.5328,0.419,0.3147,0.4111,0.2456,0.1655,6.8576,0.6928,0.6815,0.16485769,0.708,7.375,0.64643097,,4.8539,,,4.6955
7421703656704,45.02346661721,0.21189177882,0.0,0.0,0.99996644,0.0,3.353E-5,,,,,,,,,,,,,,,,,,,,,
7460358480640,45.04035089382,0.22191548687,0.0,0.0,0.9999886,0.0,1.139E-5,,,,,,,,,,,,,,,,,,,,,
7524783133184,45.01957432433,0.22886176524,0.0,0.0,0.9999979,0.0,2.11E-6,,,,,,,,,,,,,,,,,,,,,
7559142613632,45.04550888503,0.22953216376,0.0,0.0,0.9999452,0.0,5.478E-5,,,,,,,,,,,,,,,,,,,,,
7632157690368,45.0343428347,0.23538959952,0.0,0.0,0.9999459,0.0,5.408E-5,5028.776,3.1614,-0.1016,175.6677,0.2131,0.17,0.2166,0.1266,0.0899,1.6743,5.4426,5.484,17.328714,2.002,1.167,0.18264367,,3.1995,,2.66,3.5769
7834020517760,44.97616452167,0.21727979969,0.0,0.0,0.99996287,0.0,3.714E-5,5266.5435,4.5324,-0.7597,1971.4932,0.0073,0.006,0.0076,0.0043,0.0032,5.6944,0.7671,0.7111,0.35066605,0.86,3.504,0.62378895,,4.6053,,,4.6463
7902739996160,44.96648239712,0.22398130508,8.504E-5,5.8808E-4,0.9978708,2.43E-6,0.00145361,,,,,,,,,,,,,,,,,,,,,
7941395336832,44.97267889064,0.23783321351,0.0,0.0,1.0E-6,0.0,0.999999,3983.6702,4.702,-0.1422,215.6414,0.5599,0.3956,0.5388,0.3194,0.2194,8.0144,0.562,0.5451,0.06720032,,,0.6326639,,4.9218,,,4.7986
7941395337344,44.97411533912,0.22751845955,1.348E-4,0.00771128,0.9886335,0.0,0.00352038,,,,,,,,,,,,,,,,,,,,,
8040178948096,44.92104651919,0.21891547495,0.0,0.0,0.99994063,0.0,5.934E-5,3500.2463,4.4738,-0.884,577.9264,0.369,0.253,0.3502,0.2081,0.1421,9.1377,0.4668,0.6073,0.050429914,,,0.313857,,4.8264,,,4.7657
8040179489280,44.92019636262,0.21879381353,2.8549E-4,1.1278E-4,0.9991596,2.363E-5,4.1857E-4,,,,,,,,,,,,,,,,,,,,,
8044474553216,44.9276657912,0.21912825047,0.0,0.0,0.99981314,0.0,1.869E-4,4806.234,4.5114,-0.0697,593.2819,0.0904,0.0711,0.0911,0.0536,0.0375,6.0135,0.8277,0.8264,0.32858205,,,0.62636197,,4.717,,,4.8556
8044474739968,44.9282158622,0.22748977085,0.0,0.0,0.9999189,0.0,8.113E-5,3556.853,4.4522,-0.8923,578.3936,0.0765,0.0533,0.073,0.0435,0.0296,8.8652,0.5095,0.6329,0.057958174,0.549,10.67,0.33975723,,4.5712,,,4.8047
8108898428032,44.95482307006,0.23219548964,0.25390738,6.9E-7,0.7460829,1.5E-7,8.86E-6,,,,,,,,,,,,,,,,,,,,,
8108898428800,44.95151975264,0.23358179903,0.0,0.00492616,0.9946312,0.0,4.4272E-4,,,,,,,,,,,,,,,,,,,,,
8108898970496,44.95765618847,0.23402977776,0.0,0.0,0.9999908,0.0,9.13E-6,,,,,,,,,,,,,,,,,,,,,
8177618164608,44.95255081106,0.24114504933,0.0,1.0E-8,0.99999124,0.0,8.78E-6,,,,,,,,,,,,,,,,,,,,,
8246337638400,45.00079014544,0.22592228553,3.0E-8,0.0,0.9999965,0.0,3.46E-6,,,,,,,,,,,,,,,,,,,,,
8246337640192,44.99756476589,0.2332157119,0.0,2.0E-8,0.9999904,0.0,9.6E-6,,,,,,,,,,,,,,,,,,,,,
8246337986176,44.99900290906,0.23050062689,1.501E-5,8.106E-4,0.9991609,2.0E-8,1.35E-5,,,,,,,,,,,,,,,,,,4.3213,,,4.3824
8250632981888,44.99858169314,0.2307647024,0.0,0.0,0.9999312,1.2E-7,6.867E-5,5562.0205,4.6799,-3.5223,1676.3934,0.009,0.0075,0.0095,0.0054,0.0042,6.0129,0.6039,,,,,,,4.7837,,,4.5962
8315056861440,44.99467409276,0.24484997338,0.0,0.0,0.99999243,1.0E-8,7.61E-6,,,,,,,,,,,,,,,,,,,,,
8349416600832,44.99966038891,0.25085697199,0.00629527,0.0,0.9936981,3.0E-8,6.55E-6,,,,,,,,,,,,,,,,,,,,,
8349416602368,45.00287737029,0.25544548899,0.0,0.0,0.99998885,1.0E-8,1.115E-5,4712.4097,4.8604,-1.6041,1959.1741,0.0045,0.0036,0.0046,0.0027,0.0019,7.4966,0.4404,,,,,,,,,,
8383776596736,45.02183969274,0.25428567334,0.0,0.0,0.99997604,0.0,2.394E-5,,,,,,,,,,,,,,,,,,,,,
8418136080384,45.03740766253,0.26161351973,0.0,0.0,0.9998262,0.0,1.7382E-4,3445.8342,4.4997,-0.547,455.4726,0.8968,0.5857,0.8601,0.4926,0.3675,9.066,0.526,0.6076,0.047278345,,,0.3796319,,4.8261,,,4.7751
8589935028352,44.96846648022,0.26907320618,4.0E-8,9.0E-8,0.99999267,0.0,7.24E-6,,,,,,,,,,,,,,,,,,,,,
8658654505344,44.99002212128,0.27061050893,4.0E-8,0.0,0.99999917,0.0,7.9E-7,,,,,,,,,,,,,,,,,,,,,
